iPhone 15 Pro Max 256GB,7173.87,4250.386470
Samsung Galaxy S24 Ultra,726.47,4250.386470
MacBook Air 15-inch M3,10334.50,4250.386470
Dell XPS 15,4210.77,4250.386470
Sony WH-1000XM5,12537.29,4250.386470
AirPods Pro 2nd Gen,3547.05,4250.386470
iPad Pro 12.9-inch,1382.11,4250.386470
LG 65-Inch OLED TV,6066.36,4250.386470
PlayStation 5,11415.65,4250.386470
Canon EOS R6 Mark II,6728.94,4250.386470
Bose QuietComfort Ultra,1071.80,4250.386470
DJI Mini 3 Pro Drone,2268.78,4250.386470
Samsung 55-Inch QLED,2282.45,4250.386470
Logitech MX Master 3S,1226.54,4250.386470
Samsung T7 SSD 2TB,715.99,4250.386470
Roku Streaming Stick 4K,511.57,4250.386470
Ring Video Doorbell Pro,56.43,4250.386470
Levi's 501 Jeans,607.37,1007.941428
Nike Air Max 270,844.31,1007.941428
The North Face Jacket,1105.10,1007.941428
Adidas Ultraboost 22,2948.50,1007.941428
Ralph Lauren Polo Shirt,428.55,1007.941428
Michael Kors Tote Bag,508.37,1007.941428
Ray-Ban Aviators,789.63,1007.941428
Columbia Puffer Coat,1040.87,1007.941428
Under Armour Tech Tee,1791.17,1007.941428
Lululemon Align Leggings,1317.63,1007.941428
Timberland 6-Inch Boots,998.56,1007.941428
Vans Old Skool Sneakers,110.99,1007.941428
Carhartt Beanie,747.24,1007.941428
Champion Sweatshirt,872.89,1007.941428
KitchenAid Stand Mixer,564.32,2277.270000
Dyson V15 Vacuum,2937.11,2277.270000
Instant Pot 8-Quart,1883.16,2277.270000
Nespresso Coffee Maker,1128.75,2277.270000
Ninja Air Fryer 8-Quart,398.06,2277.270000
Casper Mattress Queen,1849.60,2277.270000
Cuisinart Cookware Set,2360.66,2277.270000
Vitamix Blender E310,2624.74,2277.270000
iRobot Roomba j7+,1616.49,2277.270000
Lodge Cast Iron Skillet,5909.64,2277.270000
Keurig K-Elite,792.04,2277.270000
Breville Espresso Machine,961.05,2277.270000
All-Clad Fry Pan,3362.20,2277.270000
Brooklinen Sheet Set,2611.70,2277.270000
Yankee Candle Set,5375.70,2277.270000
SimpleHuman Trash Can,3040.05,2277.270000
Le Creuset Dutch Oven,947.80,2277.270000
OXO Pop Container Set,2627.79,2277.270000
Atomic Habits,66.75,145.667777
The Midnight Library,145.73,145.667777
Educated Memoir,67.27,145.667777
Where Crawdads Sing,86.58,145.667777
Sapiens,124.58,145.667777
Dune,110.22,145.667777
The Four Winds,28.00,145.667777
Becoming,200.61,145.667777
Kindle Paperwhite,481.27,145.667777
Manduka PRO Yoga Mat,344.28,1326.591538
TRX Suspension Training,1247.66,1326.591538
Bowflex Dumbbells,2768.05,1326.591538
Coleman 4-Person Tent,2507.79,1326.591538
Osprey Hiking Backpack,774.33,1326.591538
Wilson Basketball,1005.43,1326.591538
Callaway Driver,553.85,1326.591538
Theraband Resistance Set,1096.26,1326.591538
Nike Training Mat,991.90,1326.591538
Hydro Flask 32oz,872.94,1326.591538
CAP Barbell Weight Set,1158.62,1326.591538
Everlast Boxing Gloves,3815.58,1326.591538
Trek Mountain Bike,109.00,1326.591538
CeraVe Moisturizer SPF30,98.98,1748.479000
Revlon Hair Dryer Brush,2596.05,1748.479000
Oral-B Electric Toothbrush,1233.84,1748.479000
Neutrogena Hydro Boost,2343.07,1748.479000
Chanel No. 5 Perfume,2492.21,1748.479000
Morphe Eyeshadow Palette,558.48,1748.479000
OGX Biotin Shampoo,1639.47,1748.479000
Sally Hansen Gel Polish,3838.60,1748.479000
Dyson Airwrap Styler,1280.36,1748.479000
Maybelline Sky High,1403.73,1748.479000
LEGO Star Wars Set,850.35,502.145000
Barbie Dreamhouse,560.22,502.145000
Fisher-Price Play Gym,210.81,502.145000
Graco Pack 'n Play,114.85,502.145000
Chicco KeyFit Car Seat,339.12,502.145000
Pampers Swaddlers 180ct,1062.01,502.145000
Nerf Elite Blaster,388.72,502.145000
Hot Wheels Garage Set,381.43,502.145000
Play-Doh 36-Pack,706.15,502.145000
Ravensburger Puzzle,407.79,502.145000
Fitbit Charge 6,1485.54,816.840000
Apple Watch Series 9,148.14,816.840000
