Samsung Galaxy S24 Ultra,2,1,200.00
iRobot Roomba j7+,8,5,160.00
Levi's 501 Jeans,8,5,160.00
Nerf Elite Blaster,6,4,150.00
Graco Pack 'n Play,4,3,133.33
Fitbit Charge 6,6,6,100.00
Dune,12,12,100.00
Nike Training Mat,6,6,100.00
PlayStation 5,8,8,100.00
Revlon Hair Dryer Brush,16,16,100.00
Kindle Paperwhite,2,2,100.00
Logitech MX Master 3S,6,6,100.00
Lululemon Align Leggings,24,24,100.00
Samsung T7 SSD 2TB,4,4,100.00
Roku Streaming Stick 4K,2,2,100.00
Vans Old Skool Sneakers,2,2,100.00
Adidas Ultraboost 22,28,30,93.33
Samsung 55-Inch QLED,25,27,92.59
Dyson V15 Vacuum,9,10,90.00
The Midnight Library,8,9,88.89
DJI Mini 3 Pro Drone,6,7,85.71
Bowflex Dumbbells,8,10,80.00
Carhartt Beanie,6,8,75.00
Chanel No. 5 Perfume,12,16,75.00
Cuisinart Cookware Set,9,12,75.00
Pampers Swaddlers 180ct,6,8,75.00
Nike Air Max 270,6,8,75.00
Sally Hansen Gel Polish,15,20,75.00
Play-Doh 36-Pack,20,27,74.07
Under Armour Tech Tee,15,22,68.18
Dyson Airwrap Styler,2,3,66.67
Everlast Boxing Gloves,24,36,66.67
Callaway Driver,2,3,66.67
Breville Espresso Machine,2,3,66.67
Brooklinen Sheet Set,6,10,60.00
Casper Mattress Queen,3,5,60.00
The North Face Jacket,3,5,60.00
Wilson Basketball,6,10,60.00
Yankee Candle Set,15,30,50.00
Vitamix Blender E310,3,6,50.00
Trek Mountain Bike,1,2,50.00
Ralph Lauren Polo Shirt,2,4,50.00
Osprey Hiking Backpack,2,4,50.00
OXO Pop Container Set,3,6,50.00
Michael Kors Tote Bag,2,4,50.00
Coleman 4-Person Tent,10,22,45.45
Sony WH-1000XM5,8,18,44.44
Becoming,10,24,41.67
iPhone 15 Pro Max 256GB,2,5,40.00
Lodge Cast Iron Skillet,8,20,40.00
OGX Biotin Shampoo,4,10,40.00
SimpleHuman Trash Can,2,5,40.00
Theraband Resistance Set,1,3,33.33
Timberland 6-Inch Boots,0,5,0.00
TRX Suspension Training,0,4,0.00
The Four Winds,0,2,0.00
Sapiens,0,7,0.00
Where Crawdads Sing,0,5,0.00
Oral-B Electric Toothbrush,0,3,0.00
Ninja Air Fryer 8-Quart,0,2,0.00
Nespresso Coffee Maker,0,3,0.00
Neutrogena Hydro Boost,0,6,0.00
Ravensburger Puzzle,0,6,0.00
Ray-Ban Aviators,0,5,0.00
Ring Video Doorbell Pro,0,1,0.00
Morphe Eyeshadow Palette,0,3,0.00
MacBook Air 15-inch M3,0,12,0.00
Manduka PRO Yoga Mat,0,2,0.00
Maybelline Sky High,0,5,0.00
KitchenAid Stand Mixer,0,1,0.00
Le Creuset Dutch Oven,0,3,0.00
LEGO Star Wars Set,0,6,0.00
LG 65-Inch OLED TV,0,3,0.00
Keurig K-Elite,0,2,0.00
Bose QuietComfort Ultra,0,5,0.00
AirPods Pro 2nd Gen,0,3,0.00
All-Clad Fry Pan,0,8,0.00
Apple Watch Series 9,0,1,0.00
Atomic Habits,0,4,0.00
Barbie Dreamhouse,0,7,0.00
CeraVe Moisturizer SPF30,0,1,0.00
Champion Sweatshirt,0,5,0.00
Canon EOS R6 Mark II,0,6,0.00
CAP Barbell Weight Set,0,4,0.00
Chicco KeyFit Car Seat,0,5,0.00
Columbia Puffer Coat,0,5,0.00
Dell XPS 15,0,5,0.00
Educated Memoir,0,4,0.00
Fisher-Price Play Gym,0,3,0.00
Hot Wheels Garage Set,0,3,0.00
Hydro Flask 32oz,0,3,0.00
Instant Pot 8-Quart,0,3,0.00
iPad Pro 12.9-inch,0,1,0.00
